0 0.576676 
0.02 0.576443 
0.04 0.575978 
0.06 0.57528 
0.08 0.574348 
0.1 0.573181 
0.12 0.571778 
0.14 0.570139 
0.16 0.56826 
0.18 0.566143 
0.2 0.563784 
0.22 0.561184 
0.24 0.558342 
0.26 0.555256 
0.28 0.551929 
0.3 0.548359 
0.32 0.544548 
0.34 0.540498 
0.36 0.536211 
0.38 0.531692 
0.4 0.526944 
0.42 0.521973 
0.44 0.516784 
0.46 0.511387 
0.48 0.505789 
0.5 0 
0.52 -0.505789 
0.54 -0.511387 
0.56 -0.516784 
0.58 -0.521973 
0.6 -0.526944 
0.62 -0.531692 
0.64 -0.536211 
0.66 -0.540498 
0.68 -0.544548 
0.7 -0.548359 
0.72 -0.551929 
0.74 -0.555256 
0.76 -0.558342 
0.78 -0.561184 
0.8 -0.563784 
0.82 -0.566143 
0.84 -0.56826 
0.86 -0.570139 
0.88 -0.571778 
0.9 -0.573181 
0.92 -0.574348 
0.94 -0.57528 
0.96 -0.575978 
0.98 -0.576443 
1 -0.576676 


0 0.69471 
0.02 0.69404 
0.04 0.692699 
0.06 0.690692 
0.08 0.688019 
0.1 0.684686 
0.12 0.680699 
0.14 0.676063 
0.16 0.670787 
0.18 0.66488 
0.2 0.658354 
0.22 0.651222 
0.24 0.643499 
0.26 0.635202 
0.28 0.62635 
0.3 0.616963 
0.32 0.607067 
0.34 0.596685 
0.36 0.585847 
0.38 0.574583 
0.4 0.562925 
0.42 0.550907 
0.44 0.538566 
0.46 0.525941 
0.48 0.513072 
0.5 0 
0.52 -0.513072 
0.54 -0.525941 
0.56 -0.538566 
0.58 -0.550907 
0.6 -0.562925 
0.62 -0.574583 
0.64 -0.585847 
0.66 -0.596685 
0.68 -0.607067 
0.7 -0.616963 
0.72 -0.62635 
0.74 -0.635202 
0.76 -0.643499 
0.78 -0.651222 
0.8 -0.658354 
0.82 -0.66488 
0.84 -0.670787 
0.86 -0.676063 
0.88 -0.680699 
0.9 -0.684686 
0.92 -0.688019 
0.94 -0.690692 
0.96 -0.692699 
0.98 -0.69404 
1 -0.69471 


0 0.859216 
0.02 0.857956 
0.04 0.85544 
0.06 0.85167 
0.08 0.846654 
0.1 0.840399 
0.12 0.832917 
0.14 0.824221 
0.16 0.814328 
0.18 0.803259 
0.2 0.791038 
0.22 0.777693 
0.24 0.763256 
0.26 0.747765 
0.28 0.731262 
0.3 0.713793 
0.32 0.695412 
0.34 0.676175 
0.36 0.656146 
0.38 0.635391 
0.4 0.613985 
0.42 0.592004 
0.44 0.569528 
0.46 0.546644 
0.48 0.523438 
0.5 0 
0.52 -0.523438 
0.54 -0.546644 
0.56 -0.569528 
0.58 -0.592004 
0.6 -0.613985 
0.62 -0.635391 
0.64 -0.656146 
0.66 -0.676175 
0.68 -0.695412 
0.7 -0.713793 
0.72 -0.731262 
0.74 -0.747765 
0.76 -0.763256 
0.78 -0.777693 
0.8 -0.791038 
0.82 -0.803259 
0.84 -0.814328 
0.86 -0.824221 
0.88 -0.832917 
0.9 -0.840399 
0.92 -0.846654 
0.94 -0.85167 
0.96 -0.85544 
0.98 -0.857956 
1 -0.859216 


0 1.06532 
0.02 1.06335 
0.04 1.05942 
0.06 1.05353 
0.08 1.04569 
0.1 1.03591 
0.12 1.0242 
0.14 1.01058 
0.16 0.995073 
0.18 0.977703 
0.2 0.958505 
0.22 0.93752 
0.24 0.914796 
0.26 0.89039 
0.28 0.864369 
0.3 0.836806 
0.32 0.807788 
0.34 0.77741 
0.36 0.745777 
0.38 0.713005 
0.4 0.679219 
0.42 0.644552 
0.44 0.609146 
0.46 0.573149 
0.48 0.536714 
0.5 0 
0.52 -0.536714 
0.54 -0.573149 
0.56 -0.609146 
0.58 -0.644552 
0.6 -0.679219 
0.62 -0.713005 
0.64 -0.745777 
0.66 -0.77741 
0.68 -0.807788 
0.7 -0.836806 
0.72 -0.864369 
0.74 -0.89039 
0.76 -0.914796 
0.78 -0.93752 
0.8 -0.958505 
0.82 -0.977703 
0.84 -0.995073 
0.86 -1.01058 
0.88 -1.0242 
0.9 -1.03591 
0.92 -1.04569 
0.94 -1.05353 
0.96 -1.05942 
0.98 -1.06335 
1 -1.06532 


0 1.29786 
0.02 1.29513 
0.04 1.28966 
0.06 1.28146 
0.08 1.27053 
0.1 1.25688 
0.12 1.24053 
0.14 1.2215 
0.16 1.1998 
0.18 1.17546 
0.2 1.14853 
0.22 1.11905 
0.24 1.08708 
0.26 1.0527 
0.28 1.016 
0.3 0.97708 
0.32 0.936057 
0.34 0.893068 
0.36 0.848267 
0.38 0.801823 
0.4 0.753923 
0.42 0.704765 
0.44 0.654566 
0.46 0.603548 
0.48 0.551946 
0.5 0 
0.52 -0.551946 
0.54 -0.603548 
0.56 -0.654566 
0.58 -0.704765 
0.6 -0.753923 
0.62 -0.801823 
0.64 -0.848267 
0.66 -0.893068 
0.68 -0.936057 
0.7 -0.97708 
0.72 -1.016 
0.74 -1.0527 
0.76 -1.08708 
0.78 -1.11905 
0.8 -1.14853 
0.82 -1.17546 
0.84 -1.1998 
0.86 -1.2215 
0.88 -1.24053 
