0.52 3.81118 
0.54 3.81206 
0.56 3.81287 
0.58 3.8136 
0.6 3.81427 
0.62 3.81488 
0.64 3.81544 
0.66 3.81594 
0.68 3.81641 
0.7 3.81683 
0.72 3.81721 
0.74 3.81756 
0.76 3.81787 
0.78 3.81815 
0.8 3.81841 
0.82 3.81863 
0.84 3.81883 
0.86 3.81901 
0.88 3.81916 
0.9 3.81928 
0.92 3.81939 
0.94 3.81947 
0.96 3.81953 
0.98 3.81958 
1 3.8196 


0 3.78666 
0.02 3.78668 
0.04 3.78673 
0.06 3.78679 
0.08 3.78688 
0.1 3.78699 
0.12 3.78713 
0.14 3.78729 
0.16 3.78747 
0.18 3.78769 
0.2 3.78793 
0.22 3.7882 
0.24 3.7885 
0.26 3.78884 
0.28 3.78922 
0.3 3.78963 
0.32 3.79009 
0.34 3.79059 
0.36 3.79114 
0.38 3.79175 
0.4 3.79242 
0.42 3.79315 
0.44 3.79395 
0.46 3.79484 
0.48 3.7958 
0.5 3.79687 
0.52 3.79784 
0.54 3.79872 
0.56 3.79953 
0.58 3.80027 
0.6 3.80094 
0.62 3.80155 
0.64 3.80211 
0.66 3.80262 
0.68 3.80309 
0.7 3.80351 
0.72 3.8039 
0.74 3.80425 
0.76 3.80456 
0.78 3.80485 
0.8 3.8051 
0.82 3.80533 
0.84 3.80553 
0.86 3.80571 
0.88 3.80586 
0.9 3.80599 
0.92 3.80609 
0.94 3.80618 
0.96 3.80624 
0.98 3.80628 
1 3.8063 


0 3.77315 
0.02 3.77317 
0.04 3.77321 
0.06 3.77328 
0.08 3.77337 
0.1 3.77348 
0.12 3.77362 
0.14 3.77378 
0.16 3.77397 
0.18 3.77418 
0.2 3.77442 
0.22 3.7747 
0.24 3.775 
0.26 3.77534 
0.28 3.77572 
0.3 3.77614 
0.32 3.7766 
0.34 3.7771 
0.36 3.77766 
0.38 3.77827 
0.4 3.77894 
0.42 3.77968 
0.44 3.78048 
0.46 3.78137 
0.48 3.78234 
0.5 3.78341 
0.52 3.78439 
0.54 3.78528 
0.56 3.78609 
0.58 3.78683 
0.6 3.7875 
0.62 3.78812 
0.64 3.78868 
0.66 3.7892 
0.68 3.78967 
0.7 3.79009 
0.72 3.79048 
0.74 3.79083 
0.76 3.79115 
0.78 3.79144 
0.8 3.79169 
0.82 3.79192 
0.84 3.79212 
